model,classifier,train_ims,condition,acc,ci,ci_low,ci_high,fig_number
VoneNet_FF-EcoSet,NC,300,IC,0.5661904761904762,0.015863177584459785,0.5503272986060165,0.582053653774936,1
VoneNet_FF-EcoSet-Style,logistic,300,IC,0.5441071428571429,0.014023345193698926,0.5300837976634439,0.5581304880508419,1
VoneNet_R-EcoSet,NC,300,IC,0.6046428571428571,0.021032024110535757,0.5836108330323214,0.6256748812533929,1
VoneNet_R-EcoSet-Style,KNN,300,IC,0.66125,0.020242129057557567,0.6410078709424425,0.6814921290575575,1
ResNext50_SAY,NC,300,IC,0.6028571428571429,0.01685427787173231,0.5860028649854105,0.6197114207288752,1
CVCL,logistic,300,IC,0.5630357142857143,0.014183518242575426,0.5488521960431388,0.5772192325282898,1
ConvNext-ImageNet1k,Ridge,50,IC,0.6057142857142858,0.012761298517658837,0.5929529871966269,0.6184755842319446,1
ViT-ImageNet1k,logistic,250,IC,0.5844642857142857,0.012424759793525574,0.5720395259207601,0.5968890455078112,1
ViT-CLIP,logistic,300,IC,0.8335714285714286,0.020804103536223396,0.8127673250352052,0.854375532107652,1
ResNet50-ImageNet1k,NC,300,IC,0.5835714285714285,0.023392277179930327,0.5601791513914982,0.6069637057513588,2
ResNet50-ImageNet21k,NC,250,IC,0.7013690476190476,0.02326393388621333,0.6781051137328343,0.7246329815052609,2
ResNet50-YFCC15m,logistic,300,IC,0.6897619047619047,0.019644764579682384,0.6701171401822223,0.709406669341587,2
ResNet50-CLIP,logistic,250,IC,0.741904761904762,0.020111626567818775,0.7217931353369432,0.7620163884725807,2
3yrold-fast,,,deleted,0.5425714858335268,0.07650254355098855,0.4660689422825382,0.6190740293845153,0
3yrold-slow,,,deleted,0.5792288239490075,0.05785177432325219,0.5213770496257554,0.6370805982722597,0
4yrold-fast,,,deleted,0.717093839705582,0.06133498831554759,0.6557588513900344,0.7784288280211297,0
4yrold-slow,,,deleted,0.8256392045454546,0.06358082613325024,0.7620583784122044,0.8892200306787048,0
5yrold-fast,,,deleted,0.6729469852258665,0.08131836862642247,0.591628616599444,0.754265353852289,0
5yrold-slow,,,deleted,0.7843875780932618,0.07124668485576498,0.7131408932374967,0.8556342629490268,0
Adult-fast,,,deleted,0.9013112910481332,0.05161061548438186,0.8497006755637514,0.9529219065325151,0
Adult-slow,,,deleted,0.9680555555555556,0.03472132396498931,0.9333342315905663,1.002776879520545,0
