model,classifier,condition,acc,ci_low,ci_high
VoneNet_FF-EcoSet,SVM,,0.25625,0.2527666666666667,0.25976666666666665
VoneNet_FF-EcoSet-Style,SVM,,0.31144999999999995,0.30801666666666666,0.31493333333333334
VoneNet_R-EcoSet,SVM,,0.20356666666666662,0.20081666666666664,0.20636666666666667
VoneNet_R-EcoSet-Style,SVM,,0.2273333333333333,0.22479958333333327,0.22988333333333327
ResNext50_SAY,SVM,,0.2307333333333333,0.22804999999999995,0.23331708333333329
CVCL,SVM,,0.56165,0.5584329166666667,0.5649833333333334
ConvNext-ImageNet1k,Ridge,,0.94895,0.9477666666666666,0.9501999999999999
ViT-ImageNet1k,Ridge,,0.7229,0.7197662499999999,0.7258666666666667
ViT-DINOv2,Ridge,,0.9641666666666667,0.9626166666666667,0.9657
ViT-CLIP,SVM,,0.9662333333333335,0.9648333333333333,0.9675666666666667
ResNet50-ImageNet1k,Ridge,,0.4253166666666666,0.42151666666666665,0.42928333333333335
ResNet50-ImageNet-Sketch,Ridge,,0.32963333333333333,0.3260166666666666,0.33316666666666667
ResNet50-ImageNet21k,Ridge,,0.6756166666666668,0.6717000000000001,0.6792
ResNet50-DINO,SVM,,0.5123166666666666,0.5077499999999999,0.5169337500000001
ResNet50-YFCC15m,SVM,,0.8975666666666667,0.8952833333333334,0.9
ResNet50-CLIP,SVM,,0.9385333333333333,0.9367333333333333,0.9403333333333335
